hex_id,lat,lon
872a8bc88ffffff,36.43433828978174,-79.96438388521199
872a8bc9dffffff,36.44839231498211,-80.00795704599804
872a8bc8effffff,36.450570612979334,-79.9807808349914
872a8bc8cffffff,36.45274286712525,-79.95360163816724
872a8bc9cffffff,36.46462187509061,-80.02437285187115
872a8bc83ffffff,36.46680459419866,-79.99718859249678
872a8bcf0ffffff,36.422428468715275,-79.89366861478506
872a8bcf5ffffff,36.42457982791844,-79.8664996328942
872a8bc8dffffff,36.4365061327754,-79.93721274574709
872a8bcf6ffffff,36.4386679336091,-79.91003864144056
872a8bcf4ffffff,36.440823689844585,-79.88286158403412
872a8bcabffffff,36.45490907496519,-79.92641946726742
872a8bca9ffffff,36.45706923405334,-79.89923433404171
872a8bc1affffff,36.45922334195278,-79.8720462502477
872a8bcaaffffff,36.471151885986906,-79.94281110027482
872a8bca8ffffff,36.47331645375154,-79.91561789093478
872a8bc0effffff,36.46564933428262,-79.79046441315053
872a8bc1cffffff,36.47977381522049,-79.83402055121024
872a8bc03ffffff,36.48191414701284,-79.80681557333875
872a8bc01ffffff,36.484048413767624,-79.77960768280761
872a8bc11ffffff,36.49603592213436,-79.85039063835386
872a8bc02ffffff,36.4981806517507,-79.82317754713918
872a8bc00ffffff,36.500319312140746,-79.79596153404948
872a8bc15ffffff,36.51444884169716,-79.83955034261115
872a8bc06ffffff,36.51659190155928,-79.81232620661058
872a8bc04ffffff,36.51872888559253,-79.78509915132594
872a8bc81ffffff,36.46898126531818,-79.97000133804808
872a8bc82ffffff,36.4830402266263,-80.01360716572344
872a8bc80ffffff,36.48522132054416,-79.9864118533936
872a8bc85ffffff,36.487396359867745,-79.95921354847542
872a8bc86ffffff,36.50146302598329,-80.00283319221126
872a8bc84ffffff,36.50364248979116,-79.97562681988538
872a8bca3ffffff,36.50581589239402,-79.94841745746625
872a8bcb3ffffff,36.5177063748057,-80.01926536251194
872a8bcb1ffffff,36.51989026893078,-79.99205092252433
872a8bca2ffffff,36.52206809770231,-79.96483348315779
872a8bcadffffff,36.47547496616759,-79.88842172179363
872a8bc1effffff,36.47762742079947,-79.86122260462497
872a8bcaeffffff,36.48956534213612,-79.93201226273467
872a8bcacffffff,36.49172826489729,-79.90480800794509
872a8bc13ffffff,36.493885125708104,-79.87760079588831
872a8bca1ffffff,36.5079832313323,-79.92120511673559
872a8bc12ffffff,36.51014450415526,-79.89398980948313
872a8bc10ffffff,36.512299708421175,-79.86677154750647
872a8bca0ffffff,36.52423985865309,-79.93761305620217
872a8bca5ffffff,36.52640554932492,-79.91038965345514
872a8bc33ffffff,36.532866175217684,-79.82870170856246
872a8bc31ffffff,36.535007560369436,-79.80146652078611
872a8bc22ffffff,36.537142863084824,-79.77422841632584
872a8bc16ffffff,36.52856516726842,-79.88316328672245
872a8bc14ffffff,36.530718710043175,-79.8559339678177
872a8bca4ffffff,36.54266825439108,-79.92680033585359
872a8bcb0ffffff,36.536139690450234,-80.00848586441535
872a8bcb5ffffff,36.538321951228035,-79.98126034784119
872a8bca6ffffff,36.54049814003026,-79.95403183438535
872a8bc71ffffff,36.42109256636175,-79.6871220615591
872a8bc62ffffff,36.42319721323056,-79.65994094099587
872a8bc60ffffff,36.42529580474516,-79.63275697982444
872a8bc65ffffff,36.42738833856225,-79.60557018983975
872a8bc75ffffff,36.439470007602374,-79.6762353180435
872a8bc66ffffff,36.441572956815165,-79.64904320839088
872a8bc64ffffff,36.443669844107234,-79.62184826080222
872a8bd5bffffff,36.45785184452792,-79.66534022477724
872a8bd59ffffff,36.45995309112214,-79.63813711913848
872a8bd4affffff,36.462048269224276,-79.61093117824514
872a8b8b3ffffff,36.433629570529604,-79.52399296506876
872a8bd4bffffff,36.44576066713679,-79.59465048708836
872a8bd49ffffff,36.44784542357098,-79.56744989906765
872a8b8b2ffffff,36.44992411108593,-79.54024650856599
872a8bd48ffffff,36.464137376494044,-79.58372241392394
872a8bd4dffffff,36.46622041060013,-79.55651083800912
872a8b8b6ffffff,36.46829736922016,-79.52929646234242
872a8bd4effffff,36.480431075800404,-79.60000572332481
872a8bd4cffffff,36.4825184623316,-79.57278596151437
872a8bd6bffffff,36.48459976912594,-79.54556339083285
872a8bd5affffff,36.474132461128455,-79.68164803706608
872a8bd58ffffff,36.47623807285559,-79.65443677293948
872a8bd5dffffff,36.47833761186215,-79.62722266441406
872a8bd5effffff,36.49252478254617,-79.67074723029998
872a8bd5cffffff,36.49462868829259,-79.64352495369829
872a8bd43ffffff,36.496726514735876,-79.61629983538191
872a8bd53ffffff,36.508813213422506,-79.68706849931844
872a8bd51ffffff,36.510921491747794,-79.65983805420478
872a8bd42ffffff,36.51302368653621,-79.6326047582106
872a8bd40ffffff,36.51511979543403,-79.60536862319518
872a8bc2bffffff,36.46990302894827,-79.73606198482075
872a8bc29ffffff,36.472020779037464,-79.70885644496643
872a8bc2affffff,36.48617661308492,-79.75239689142165
872a8bc28ffffff,36.48829874257367,-79.72518321099355
872a8bc2dffffff,36.4904147998518,-79.69796665334364
872a8bc05ffffff,36.502451900897015,-79.76874261089785
872a8bc2effffff,36.50457841562096,-79.74152078950513
872a8bc2cffffff,36.506698853923,-79.71429608169989
872a8bc23ffffff,36.52085979139084,-79.7578691885863
872a8bc21ffffff,36.52298461655711,-79.73063633022845
872a8bd69ffffff,36.486674993862636,-79.51833802313796
872a8bd41ffffff,36.49881825952978,-79.58907188720178
872a8bd6affffff,36.50090392033708,-79.56184112101646
872a8bd68ffffff,36.50298349482952,-79.534607548692
872a8bd45ffffff,36.51720981609656,-79.57812966102544
872a8bd6effffff,36.51929374618809,-79.55088788357585
872a8bd6cffffff,36.52137158338196,-79.52364330272847
872a8bd44ffffff,36.533517449637365,-79.59442901899591
872a8bd63ffffff,36.53560574117495,-79.56717903593406
872a8bd61ffffff,36.53768793555231,-79.53992624032713
872a8bd50ffffff,36.52721601544995,-79.6761619740442
872a8bd55ffffff,36.5293225844272,-79.64892049993006
872a8bd46ffffff,36.531423063273735,-79.62167617762219
872a8bd52ffffff,36.525103358703205,-79.703400588097
872a8bc20ffffff,36.53927208095918,-79.74698740702672
872a8bc25ffffff,36.541395211596885,-79.71974350474156
